period,first_of_month_prior12,first_of_month,period_name,Days_In_Last_3_Months,qtr,first_of_month_prior6,qtr_name,first_of_month_prior3,month_end,periodkey,days_in_month,month_end_prior6,fyyear,
5.0,2012-06-01 00:00:00.0,2013-05-01 00:00:00.0,May-2013,92,2.0,2012-12-01 00:00:00.0,2ND QUARTER - 2013,2013-03-01 00:00:00.0,2013-05-31 00:00:00.0,201305,31.0,2012-12-31 00:00:00.0,2013.0,
6.0,2012-07-01 00:00:00.0,2013-06-01 00:00:00.0,June-2013,91,2.0,2013-01-01 00:00:00.0,2ND QUARTER - 2013,2013-04-01 00:00:00.0,2013-06-30 00:00:00.0,201306,30.0,2013-01-31 00:00:00.0,2013.0,
7.0,2012-08-01 00:00:00.0,2013-07-01 00:00:00.0,July-2013,92,3.0,2013-02-01 00:00:00.0,3RD QUARTER - 2013,2013-05-01 00:00:00.0,2013-07-31 00:00:00.0,201307,31.0,2013-02-28 00:00:00.0,2013.0,
8.0,2012-09-01 00:00:00.0,2013-08-01 00:00:00.0,August-2013,92,3.0,2013-03-01 00:00:00.0,3RD QUARTER - 2013,2013-06-01 00:00:00.0,2013-08-31 00:00:00.0,201308,31.0,2013-03-31 00:00:00.0,2013.0,
9.0,2012-10-01 00:00:00.0,2013-09-01 00:00:00.0,September-2013,92,3.0,2013-04-01 00:00:00.0,3RD QUARTER - 2013,2013-07-01 00:00:00.0,2013-09-30 00:00:00.0,201309,30.0,2013-04-30 00:00:00.0,2013.0,
10.0,2012-11-01 00:00:00.0,2013-10-01 00:00:00.0,October-2013,92,4.0,2013-05-01 00:00:00.0,4TH QUARTER - 2013,2013-08-01 00:00:00.0,2013-10-31 00:00:00.0,201310,31.0,2013-05-31 00:00:00.0,2013.0,
11.0,2012-12-01 00:00:00.0,2013-11-01 00:00:00.0,November-2013,91,4.0,2013-06-01 00:00:00.0,4TH QUARTER - 2013,2013-09-01 00:00:00.0,2013-11-30 00:00:00.0,201311,30.0,2013-06-30 00:00:00.0,2013.0,
12.0,2013-01-01 00:00:00.0,2013-12-01 00:00:00.0,December-2013,92,4.0,2013-07-01 00:00:00.0,4TH QUARTER - 2013,2013-10-01 00:00:00.0,2013-12-31 00:00:00.0,201312,31.0,2013-07-31 00:00:00.0,2013.0,
1.0,2013-02-01 00:00:00.0,2014-01-01 00:00:00.0,January-2014,92,1.0,2013-08-01 00:00:00.0,1ST QUARTER - 2014,2013-11-01 00:00:00.0,2014-01-31 00:00:00.0,201401,31.0,2013-08-31 00:00:00.0,2014.0,
2.0,2013-03-01 00:00:00.0,2014-02-01 00:00:00.0,February-2014,90,1.0,2013-09-01 00:00:00.0,1ST QUARTER - 2014,2013-12-01 00:00:00.0,2014-02-28 00:00:00.0,201402,28.0,2013-09-30 00:00:00.0,2014.0,
3.0,2013-04-01 00:00:00.0,2014-03-01 00:00:00.0,March-2014,90,1.0,2013-10-01 00:00:00.0,1ST QUARTER - 2014,2014-01-01 00:00:00.0,2014-03-31 00:00:00.0,201403,31.0,2013-10-31 00:00:00.0,2014.0,
4.0,2013-05-01 00:00:00.0,2014-04-01 00:00:00.0,April-2014,89,2.0,2013-11-01 00:00:00.0,2ND QUARTER - 2014,2014-02-01 00:00:00.0,2014-04-30 00:00:00.0,201404,30.0,2013-11-30 00:00:00.0,2014.0,
5.0,2013-06-01 00:00:00.0,2014-05-01 00:00:00.0,May-2014,92,2.0,2013-12-01 00:00:00.0,2ND QUARTER - 2014,2014-03-01 00:00:00.0,2014-05-31 00:00:00.0,201405,31.0,2013-12-31 00:00:00.0,2014.0,
6.0,2013-07-01 00:00:00.0,2014-06-01 00:00:00.0,June-2014,91,2.0,2014-01-01 00:00:00.0,2ND QUARTER - 2014,2014-04-01 00:00:00.0,2014-06-30 00:00:00.0,201406,30.0,2014-01-31 00:00:00.0,2014.0,
7.0,2013-08-01 00:00:00.0,2014-07-01 00:00:00.0,July-2014,92,3.0,2014-02-01 00:00:00.0,3RD QUARTER - 2014,2014-05-01 00:00:00.0,2014-07-31 00:00:00.0,201407,31.0,2014-02-28 00:00:00.0,2014.0,
8.0,2013-09-01 00:00:00.0,2014-08-01 00:00:00.0,August-2014,92,3.0,2014-03-01 00:00:00.0,3RD QUARTER - 2014,2014-06-01 00:00:00.0,2014-08-31 00:00:00.0,201408,31.0,2014-03-31 00:00:00.0,2014.0,
9.0,2013-10-01 00:00:00.0,2014-09-01 00:00:00.0,September-2014,92,3.0,2014-04-01 00:00:00.0,3RD QUARTER - 2014,2014-07-01 00:00:00.0,2014-09-30 00:00:00.0,201409,30.0,2014-04-30 00:00:00.0,2014.0,
10.0,2013-11-01 00:00:00.0,2014-10-01 00:00:00.0,October-2014,92,4.0,2014-05-01 00:00:00.0,4TH QUARTER - 2014,2014-08-01 00:00:00.0,2014-10-31 00:00:00.0,201410,31.0,2014-05-31 00:00:00.0,2014.0,
11.0,2013-12-01 00:00:00.0,2014-11-01 00:00:00.0,November-2014,91,4.0,2014-06-01 00:00:00.0,4TH QUARTER - 2014,2014-09-01 00:00:00.0,2014-11-30 00:00:00.0,201411,30.0,2014-06-30 00:00:00.0,2014.0,
12.0,2014-01-01 00:00:00.0,2014-12-01 00:00:00.0,December-2014,92,4.0,2014-07-01 00:00:00.0,4TH QUARTER - 2014,2014-10-01 00:00:00.0,2014-12-31 00:00:00.0,201412,31.0,2014-07-31 00:00:00.0,2014.0,
1.0,2014-02-01 00:00:00.0,2015-01-01 00:00:00.0,January-2015,92,1.0,2014-08-01 00:00:00.0,1ST QUARTER - 2015,2014-11-01 00:00:00.0,2015-01-31 00:00:00.0,201501,31.0,2014-08-31 00:00:00.0,2015.0,
2.0,2014-03-01 00:00:00.0,2015-02-01 00:00:00.0,February-2015,90,1.0,2014-09-01 00:00:00.0,1ST QUARTER - 2015,2014-12-01 00:00:00.0,2015-02-28 00:00:00.0,201502,28.0,2014-09-30 00:00:00.0,2015.0,
3.0,2014-04-01 00:00:00.0,2015-03-01 00:00:00.0,March-2015,90,1.0,2014-10-01 00:00:00.0,1ST QUARTER - 2015,2015-01-01 00:00:00.0,2015-03-31 00:00:00.0,201503,31.0,2014-10-31 00:00:00.0,2015.0,
1.0,2019-02-01 00:00:00.0,2020-01-01 00:00:00.0,January-2020,92,1.0,2019-08-01 00:00:00.0,1ST QUARTER - 2020,2019-11-01 00:00:00.0,2020-01-31 00:00:00.0,202001,31.0,2019-08-31 00:00:00.0,2020.0,
2.0,2019-03-01 00:00:00.0,2020-02-01 00:00:00.0,February-2020,91,1.0,2019-09-01 00:00:00.0,1ST QUARTER - 2020,2019-12-01 00:00:00.0,2020-02-29 00:00:00.0,202002,29.0,2019-09-30 00:00:00.0,2020.0,
